full_text,retweet_count,user_followers_count,favorite_count,created_at,pos_score,neg_score,sent_score
that mani think swachhbharat propaganda toilet alreadi built tsp scheme viz central rural sanit programm crsp sinc So new ad swachhbharatabhiyan long stick broom jhadu,1,9910,2,Tue Jul 16 10:02:31 +0000 2019,1.5,0.125,1
intestin worm spread due open defec alway use toilet forget wash hand nationaldeworm,2,193,0,Tue Jul 16 10:01:15 +0000 2019,0.125,0.25,-1
As part swachhatapakhwada hpcl organis cleanli drive offic premis agra swachhbharat mycleanindia,4,165658,11,Tue Jul 16 09:59:00 +0000 2019,0.375,0.0,1
swachhbharat meant peopl actual engag task make india clean life normal contrac,1,5426,0,Tue Jul 16 09:55:07 +0000 2019,0.875,1.5,-1
swachhbharat meant peopl actual engag task make india clean life normal contract job instead stabl employ low wage occasion death sewer Do rememb die exactli month ago model state gujarat,1,1122,1,Tue Jul 16 09:53:20 +0000 2019,1.875,1.75,1
delhi let S segreg our wast We help visit It help reduc contribut air,7,43,0,Tue Jul 16 09:50:33 +0000 2019,0.125,0.125,-1
A clean swachhrourkela collect respons let bit help citi keep clean green swachhbharat mycleanindia,0,40,0,Tue Jul 16 09:39:46 +0000 2019,1.0,1.0,-1
delhi let S segreg our wast We help visit It help reduc contribut air water pollut wemeantoclean cleandelhi swachhbharat mycleanindia wastemanag wastesegreg delhipollut airpollut waterpollut,7,1888,0,Tue Jul 16 09:30:25 +0000 2019,0.125,0.0,1
member aai carri cleanli drive jammu airport part mycleanindia movement swachhbharat,5,165658,14,Tue Jul 16 09:30:00 +0000 2019,0.375,0.125,1
throw thing car hema malini sweep air kais hoga swachhbharat,0,208,0,Tue Jul 16 09:23:22 +0000 2019,0.0,0.0,0
swachhagrahi carri cleanli drive variou waterfal prabalgad near mumbai part swachhbha,24,77,0,Tue Jul 16 09:15:32 +0000 2019,0.5,0.375,1
As part swachhtapakhwada cleanli drive network oper center noc swachhbharat,72,34,0,Tue Jul 16 09:12:36 +0000 2019,0.375,0.125,1
cleanli drive carri staff hous keep staff swachhtapakhwada mycleanindia swachhbhar,105,34,0,Tue Jul 16 09:12:28 +0000 2019,0.375,0.0,1
employe clean garden swachhatapakhwada swachhbharat stpiindi,77,34,0,Tue Jul 16 09:12:25 +0000 2019,0.0,0.125,-1
particip slogan poster competit organis observ swachhatapakhwada swachhbharat M,128,34,0,Tue Jul 16 09:11:32 +0000 2019,0.0,0.0,0
youth volunt nehru yuva kendra nyk udupi karnataka organis cleanli drive street public place pa,2,53042,0,Tue Jul 16 09:11:15 +0000 2019,0.375,0.125,1
youth volunt nehru yuva kendra nyk ferozepur punjab plant tree part swachh bharat summer internship sb,2,53042,0,Tue Jul 16 09:10:43 +0000 2019,0.0,0.0,0
bleach packet distribut flood affect area phe divis hojai district swachhbharat swachhassam swachhat,1,181,0,Tue Jul 16 09:10:38 +0000 2019,0.75,0.125,1
swachhbharat rsundik Hi rohit thank reach u pleas lodg complaint websit take immedi action team swachh bharat swachhbharat zsbp,0,525,0,Tue Jul 16 09:10:21 +0000 2019,0.25,0.5,-1
bleach packet distribut flood affect area phe divis hojai district swachhbharat swachhassam swachhatahiseva swachhbharatmissiongramin swachh sanit sanitationduringflood floodeffect floodrelief sanitationforal safesanit hygienetip,1,11550,2,Tue Jul 16 09:09:11 +0000 2019,1.375,0.125,1
intestin worm spread due open defec alway use toilet forget wash hand nationaldewormingday krimimuktbharat swachhbharat,1,3217,3,Tue Jul 16 09:08:30 +0000 2019,0.125,0.25,-1
togeth make differ cisf personnel carri cleanli drive cisf unit ongc hazira mycleanindia,16,995,0,Tue Jul 16 09:07:49 +0000 2019,0.25,0.625,-1
swachhbharat pradipmohit Hi pradip thank reach u pleas lodg complaint websit take immedi action team swachh bharat swachhbharat zsbp,0,525,0,Tue Jul 16 09:05:50 +0000 2019,0.25,0.5,-1
swachhbharat mohsina Hi mohsin thank reach u pleas lodg complaint websit take immedi action team swachh bharat swachhbharat zsbp,0,525,0,Tue Jul 16 09:05:49 +0000 2019,0.25,0.5,-1
bpcl organis cleanli amp awar drive manjeri bu stand malappuram part swachhbharat mission mycleanindia,5,165658,10,Tue Jul 16 09:00:00 +0000 2019,0.875,0.0,1
youth volunt nehru yuva kendra nyk geyz sikkim organis cleanli awar drive street public place part swachh bharat summer internship sbsi swachhsumm swachhbharat modw youth yuvabharat,0,1421,1,Tue Jul 16 08:56:54 +0000 2019,0.5,0.75,-1
A nighttim cleanli amp garbag collect drive carri local author near parvat gam road surat,8,682,0,Tue Jul 16 08:52:05 +0000 2019,0.375,0.0,1
distribut packag drink water flood effect area mangaldai phe divis swachhbharat swachhassam swachhatahiseva waterforlif waterqu water floodinassam floodeffect floodrelief,0,11550,1,Tue Jul 16 08:51:34 +0000 2019,0.25,0.0,1
youth volunt nehru yuva kendra nyk ferozepur punjab plant tree part swachh bharat summer internship sbsi swachhsumm swachhbharat modw youth yuvabharat,2,1421,1,Tue Jul 16 08:50:50 +0000 2019,0.0,0.0,0
help US with our shramdaan cleanli drive for cleandelhi swachhbharat gt gt buy here gt gt htt,6,43,0,Tue Jul 16 08:50:41 +0000 2019,1.375,0.0,1
In nirman bhavan ministri urban develop locat worker continu sift garbag ba,2,4066,0,Tue Jul 16 08:49:52 +0000 2019,0.0,0.0,0
today clean gomatha betta pond dishearten see peopl litter despit avail se,5,246,0,Tue Jul 16 08:48:50 +0000 2019,0.625,0.625,-1
water sampl collect borigog area nalbari district test qualiti phe laboratori swachhbharat swachhassam swachhbharatmissiongramin swachh waterforlif water waterqu phe test purewat labtest nalbari assam floodeffect,0,11550,0,Tue Jul 16 08:45:55 +0000 2019,1.25,0.125,1
swachhbharat A twin pit toilet last lifetim maintain properli To know technolog watch swachhbharat zsbp,0,525,0,Tue Jul 16 08:40:28 +0000 2019,0.25,0.25,-1
happi world environ day worldenvironmentday swachhbharat,10,12,0,Tue Jul 16 08:39:57 +0000 2019,0.875,0.0,1
happi world environ day worldenvironmentday swachhbharat,8,12,0,Tue Jul 16 08:39:53 +0000 2019,0.875,0.0,1
lead citi swachhata leagu take pledg keep surround clean swachhbharat mycleanindia swachhataleagu swachhsurvekshanleagu,2,165658,5,Tue Jul 16 08:33:00 +0000 2019,0.625,0.375,1
pleas retweet let stoplitt cleandelhi swachhbharat mycleanindia wemeantoclean,7,1888,0,Tue Jul 16 08:30:32 +0000 2019,0.0,0.0,0
help US with our shramdaan cleanli drive for cleandelhi swachhbharat gt gt buy here gt gt,6,1888,0,Tue Jul 16 08:30:09 +0000 2019,1.375,0.0,1
In nirman bhavan ministri urban develop locat worker continu sift garbag bare hand swachhbharat,2,5426,4,Tue Jul 16 08:29:26 +0000 2019,0.5,0.125,1
what beauti sight river height phase great go swachhbharat,2,43,0,Tue Jul 16 08:23:27 +0000 2019,0.75,0.0,1
what point garbag pick come day row how sbm help india cleaner make home pile garbag swachhbharat ghaziabad,0,13,0,Tue Jul 16 08:23:16 +0000 2019,0.25,0.125,1
week activ updat tree plantat hindu smashan bhumi amravati th juli AM swachhbharat,8,17,0,Tue Jul 16 08:22:59 +0000 2019,0.125,0.0,1
distribut water purif kit packet drink water mobil van flood effect area hailakandi,2,83966,0,Tue Jul 16 08:14:55 +0000 2019,0.375,0.25,1
gazipur landfil seem like citi guy pleas sign petit spread word,3,478,0,Tue Jul 16 08:12:21 +0000 2019,0.625,0.375,1
one step time rama devi woman pradhan uttarpradesh take lead motiv famili rejuven,7,452,0,Tue Jul 16 08:10:23 +0000 2019,0.625,0.375,1
swachhbharat the swachhatapakhwada activ initi undertaken ministri skill develop entrepreneurship msdeskillindia govern india th st juli swachhbharat zsbp,0,525,0,Tue Jul 16 08:01:11 +0000 2019,1.0,0.125,1
A tree plantat amp cleanli drive organis jammu hpcl part ongo swachhatapakhwada swachhbharat mycleanindia,6,165658,18,Tue Jul 16 08:00:00 +0000 2019,0.375,0.0,1
savewat saveearth digitalindia greenpatna pmoindia smartfarm narendramodi ravishank swachhbharat digitalbihar patna identifi subsid product requir requir easi smart water system themself setup maitan free easi htpl,0,3,1,Tue Jul 16 07:51:58 +0000 2019,2.25,0.5,1
swachhbharat ongc ahmedabad gujarat sponsor construct public toilet such initi go long way contribut toward swachh swasth india swachhatapakhwada swachhbharat zsbp,0,525,0,Tue Jul 16 07:40:18 +0000 2019,0.375,0.25,1
what beauti sight river height phase great go swachhbharat,2,12,3,Tue Jul 16 07:33:46 +0000 2019,0.75,0.0,1
kindli help swachhbharat swachhatapakhwada swachhtapakhwada swachhbharat,1,374,0,Tue Jul 16 07:31:31 +0000 2019,0.5,0.0,1
must invest new technolog avoid death sewag worker provid safeti kit good thing look innov option robot that clean sewer via innov sewag swachhbharat robot,0,375,0,Tue Jul 16 07:30:22 +0000 2019,1.75,0.25,1
delhi let S segreg our wast We help visit It help reduc contribut air water pollut wemeantoclean cleandelhi swachhbharat mycleanindia wastemanag wastesegreg delhipollut airpollut waterpollut,7,1888,0,Tue Jul 16 07:30:15 +0000 2019,0.125,0.0,1
puri municip corpor organis cleanli drive conveni devote visit citi sunabesha festiv swachhbharat mycleanindia,5,165658,29,Tue Jul 16 07:30:00 +0000 2019,0.75,0.0,1
swachhbharat As part swachhatapakhwada initi ongc kakinada instal plastic crusher machin market area ensur cleanli place swachhbharat zsbp,0,525,0,Tue Jul 16 07:25:32 +0000 2019,0.75,0.0,1
walkathon conduct cpcl polytechn student creat awar issu like tree plantat recycl water,0,7,0,Tue Jul 16 07:20:54 +0000 2019,0.125,0.0,1
youth volunt nehru yuva kendra nyk udupi karnataka organis cleanli drive street public place part swachh bharat summer internship sbsi swachhsumm swachhbharat modw youth yuvabharat,2,1421,5,Tue Jul 16 07:09:36 +0000 2019,0.375,0.125,1
iocian bkc mumbai spread swachata cleanli drive swachhtapakhwada swachhbharat cleanindia greenindia tuesdaythought gurupurnima,0,100,1,Tue Jul 16 07:09:01 +0000 2019,0.0,0.0,0
swachhbharat with object gener awar plastic wast effect human environ indianoilcl noonmati haldia unit organis street play swachhatapakhwada swachhbharat zsbp,0,525,0,Tue Jul 16 07:05:48 +0000 2019,0.625,0.0,1
indian oil organis variou swacchata activ like cleanli drive amp cyclothon creat awar differ part madhya pradesh part ongo swachhatapakhwada mycleanindia swachhbharat,4,165658,13,Tue Jul 16 07:00:00 +0000 2019,1.75,0.5,1
youth volunt nehru yuva kendra nyk howrah west bengal organis cleanli awar drive street public place part swachh bharat summer internship sbsi swachhsumm swachhbharat modw youth yuvabharat,0,1421,0,Tue Jul 16 06:56:59 +0000 2019,0.5,0.75,-1
distribut water purif kit packet drink water mobil van flood effect area hailakandi district swachhbharat swachhassam swachhbharatmissiongramin water waterforlif savewat drinkingwat purewat assam hailakandi swachh flood,2,11550,8,Tue Jul 16 06:54:39 +0000 2019,0.625,0.125,1
distribut water purif kit packet drink water mobil van flood effect area nalbari district swachhbharat swachhassam swachhbharatmissiongramin water waterforlif savewat drinkingwat purewat assam nalbari swachh flood,4,11550,21,Tue Jul 16 06:52:00 +0000 2019,0.625,0.125,1
youth volunt nehru yuva kendra nyk lucknow uttar pradesh organis cleanli awar drive street public place part swachh bharat summer internship sbsi swachhsumm swachhbharat modw youth yuvabharat,0,1421,0,Tue Jul 16 06:51:49 +0000 2019,0.5,0.75,-1
adjudg bhopal cleanest capit citi india howev base recent independ,1,820,0,Tue Jul 16 06:50:01 +0000 2019,0.25,0.5,-1
kindli help swachhbharat swachhatapakhwada swachhtapakhwada swachhbharatabhiyan smartciti,1,53,0,Tue Jul 16 06:49:21 +0000 2019,0.5,0.0,1
unicefindia one step time rama devi woman pradhan uttarpradesh take lead motiv famili rejuven pond commun own social fisheri swachhbharat,0,509,0,Tue Jul 16 06:48:22 +0000 2019,0.625,0.375,1
intestin worm spread due open defec alway use toilet forget wash hand nation,1,0,0,Tue Jul 16 06:46:39 +0000 2019,0.125,0.25,-1
lead citi swachhata leagu take pledg keep surround clean mycleanindia swachhbharat swachhataleagu swachhsurvekshanleagu,0,4,1,Tue Jul 16 06:44:57 +0000 2019,0.625,0.375,1
one step time rama devi woman pradhan uttarpradesh take lead motiv famili rejuven pond commun own social fisheri swachhbharat,7,836929,30,Tue Jul 16 06:43:31 +0000 2019,0.625,0.375,1
youth volunt nehru yuva kendra nyk ballia uttar pradesh organis clean public place amp plant tree part swachh bharat summer internship sbsi pmo moya swachhsumm swachhbharat modw youth yuvabharat,0,1421,0,Tue Jul 16 06:41:56 +0000 2019,0.0,0.125,-1
intestin worm spread due open defec alway use toilet forget wash hand nationaldewormingday krimimuktbharat swachhbharat,1,134,1,Tue Jul 16 06:37:29 +0000 2019,0.125,0.25,-1
youth volunt nehru yuva kendra nyk kasargod kerala organis clean street drain back alley part,3,291,0,Tue Jul 16 06:35:54 +0000 2019,0.0,0.0,0
what doe right sanit mean india kamavida kam avida newdelhi swachhbharat mycleanindia clean solidwa,1,374,0,Tue Jul 16 06:34:18 +0000 2019,1.125,0.375,1
youth volunt nehru yuva kendra nyk west godavari andhra pradesh organis cleanli drive street public place part swachh bharat summer internship sbsi pmo moya swachhsumm swachhbharat modw youth yuvabharat,0,1421,0,Tue Jul 16 06:33:35 +0000 2019,0.375,0.125,1
pleas retweet let stoplitt cleandelhi swachhbharat mycleanindia wemeantoclean,6,1888,0,Tue Jul 16 06:30:18 +0000 2019,0.0,0.0,0
young swacchagrahi kendriya vidyalaya jharasangam carri cleanli drive school premis part swachhbharat mission mycleanindia,8,165658,46,Tue Jul 16 06:30:00 +0000 2019,0.375,0.125,1
encourag bio ga produc plenti farm wast addit lpg either would bring cash outflow improv swachhbharat outcom well reduc depend fossil fuel that must part cours correct,0,281,0,Tue Jul 16 06:17:37 +0000 2019,1.25,1.125,1
pleas use app activ citizen keep countri clean pleas rais complaint find garbag public space share experi swachhbharatabhiyan swachhbharat greenindia,0,150,0,Tue Jul 16 06:15:11 +0000 2019,2.0,1.625,1
As part ongo swachhatapakhwada bpcl organis tree plantat amp cleanli drive variou part countri swachhbharat mycleanindia,7,165658,13,Tue Jul 16 06:00:00 +0000 2019,0.5,0.375,1
youth volunt nehru yuva kendra nyk shivpuri madhya pradesh organis clean public place amp plant tree part swachh bharat summer internship sbsi pmo moya swachhsumm swachhbharat modw youth yuvabharat,0,1421,0,Tue Jul 16 05:34:56 +0000 2019,0.0,0.125,-1
youth volunt nehru yuva kendra nyk kasargod kerala organis clean street drain back alley part swachh bharat summer internship sbsi pmo moya swachhsumm swachhbharat modw youth yuvabharat,3,1421,7,Tue Jul 16 05:30:46 +0000 2019,0.0,0.0,0
delhi let S segreg our wast We help visit It help reduc contribut air water pollut wemeantoclean cleandelhi swachhbharat mycleanindia wastemanag wastesegreg delhipollut airpollut waterpollut,8,1888,0,Tue Jul 16 05:30:23 +0000 2019,0.125,0.0,1
bhubaneswar municip corpor carri cleanli drive citi part swachhbharat mission mycleanindia,4,165658,13,Tue Jul 16 05:28:12 +0000 2019,0.375,0.0,1
youth volunt nehru yuva kendra nyk uttara kannada karnataka organis cleanli awar drive park public place part swachh bharat summer internship sbsi pmo moya swachhsumm swachhbharat modw youth yuvabharat,0,1421,0,Tue Jul 16 05:28:09 +0000 2019,0.5,0.75,-1
youth volunt nehru yuva kendra nyk dhubri assam organis ralli wast collect drive household conduct,2,53042,0,Tue Jul 16 05:26:54 +0000 2019,0.375,0.0,1
youth volunt nehru yuva kendra nyk kolar karnataka organis cleanli awar drive street public place part swachh bharat summer internship sbsi pmo moya swachhsumm swachhbharat modw youth yuvabharat,0,1421,0,Tue Jul 16 05:26:32 +0000 2019,0.5,0.75,-1
what doe right sanit mean india kamavida kam avida newdelhi swachhbharat mycleanindia clean solidwast read,1,79,0,Tue Jul 16 05:26:11 +0000 2019,1.375,0.375,1
No light end manhol kamavida kam avida thiruvananthapuram swachhbharat mycleanindia clean solidwast read,1,374,0,Tue Jul 16 05:24:59 +0000 2019,0.75,0.375,1
sewer worker get free safeti kit delhi CM arvind kejriw kamavida kam avida delhi swachhbharat mycleanindia,1,374,0,Tue Jul 16 05:24:36 +0000 2019,0.625,0.0,1
sanit worker made enter manhol kamavida kam avida ahmedabad swachhbharat mycleanindia clean solidwast sto,1,374,0,Tue Jul 16 05:23:25 +0000 2019,1.125,0.375,1
youth volunt nehru yuva kendra nyk shimla himach pradesh organis cleanli drive made peopl awar local wast manag technolog part swachh bharat summer internship sbsi pmo moya swachhsumm swachhbharat modw youth,0,1421,2,Tue Jul 16 05:23:06 +0000 2019,1.0,0.0,1
If peopl are dy someon ha To Go To jail delhi HC say while hear pil On manual scaveng kamavida kam avida,1,374,0,Tue Jul 16 05:22:53 +0000 2019,0.25,0.0,1
have seen student school uniform smoke nearbi park can v save futur counsel may b teacher,1,374,0,Tue Jul 16 05:20:48 +0000 2019,1.0,0.0,1
collect stray bottl cap litter around place visit routin basi way school colleg work etc,6,374,0,Tue Jul 16 05:20:10 +0000 2019,0.125,0.625,-1
youth volunt nehru yuva kendra nyk krishna andhra pradesh organis cleanli drive street public place,1,53042,0,Tue Jul 16 05:19:58 +0000 2019,0.5,0.125,1
mycleanindia swachhbharat swachhbharatabhiyan veri good cleanli drive sir We proud sir,1,374,0,Tue Jul 16 05:18:30 +0000 2019,1.75,0.5,1
mycleanindia swachhbharat swachhbharatabhiyan veri good cleanli drive sir We proud sir jai hind S,1,374,0,Tue Jul 16 05:18:03 +0000 2019,1.75,0.625,1
youth volunt nehru yuva kendra nyk jhajjar haryana organis cleanli drive street public place part swachh bharat summer internship sbsi pmo moya swachhsumm swachhbharat modw youth yuvabharat,0,1421,0,Tue Jul 16 05:17:53 +0000 2019,0.375,0.125,1
yesterday plant nativ tree sapl vika puri We take care regularli more pic,7,374,0,Tue Jul 16 05:15:18 +0000 2019,0.25,0.0,1
yesterday clean surround area local peopl resid day swachhbharat swachhbharatabhiyan swachhnadiad,0,203,2,Tue Jul 16 05:14:51 +0000 2019,0.0,0.125,-1
No light end manhol kamavida kam avida thiruvananthapuram swachhbharat mycleanindia clean solidwast read,1,79,0,Tue Jul 16 05:11:15 +0000 2019,0.75,0.375,1
youth volunt nehru yuva kendra nyk dhubri assam organis ralli wast collect drive household conduct seminar amp distrbut plant part swachh bharat summer internship sbsi pmo moya swachhsumm swachhbharat modw youth yuvabharat,2,1421,5,Tue Jul 16 05:10:29 +0000 2019,0.125,0.0,1
sewer worker get free safeti kit delhi CM arvind kejriw kamavida kam avida delhi swachhbharat mycleanindia clean solidwast delhijalboard read,1,79,0,Tue Jul 16 05:09:37 +0000 2019,1.375,0.375,1
youth volunt nehru yuva kendra nyk krishna andhra pradesh organis cleanli drive street public place part swachh bharat summer internship sbsi pmo moya swachhsumm swachhbharat modw youth yuvabharat,1,1421,3,Tue Jul 16 05:07:16 +0000 2019,0.5,0.125,1
lead citi swachhata leagu take pledg keep surround clean mycleanindia swachhbharat swachhataleagu swachhsurvekshanleagu,4,54732,3,Tue Jul 16 04:56:04 +0000 2019,0.625,0.375,1
ji time save environ make environ revolutionari movement swachhbharat,0,1,0,Tue Jul 16 04:54:22 +0000 2019,1.375,0.125,1
sanit worker made enter manhol kamavida kam avida ahmedabad swachhbharat mycleanindia clean solidwast stopmanualscaveng read,1,79,1,Tue Jul 16 04:52:36 +0000 2019,1.375,0.375,1
If peopl are dy someon ha To Go To jail delhi HC say while hear pil On manual scaveng kamavida kam avida delhi swachhbharat mycleanindia clean solidwast read,1,79,0,Tue Jul 16 04:52:35 +0000 2019,1.0,0.375,1
when recycl bin plastic bottl sundarkand venu god choos good citizen take initi keep citi clean cleandelhi swachhbharatabhiyan swachhbharat,0,6,1,Tue Jul 16 04:50:44 +0000 2019,1.625,0.375,1
plant tree plant life M sunray bharatga endeavour spread messag vision swachhbharat gi,1,332,0,Tue Jul 16 04:46:25 +0000 2019,0.625,0.75,-1
swachhbharat happen unless basic chang attitud peopl bangalor resid care surround long home hous premis clean bangalor garbag corruptbbmp all gaurakshak feed cow,0,158,0,Tue Jul 16 04:40:16 +0000 2019,0.625,0.5,1
current south bangalor MP I challeng get anyth done ward parti get area clean realli seriou swachhbharat thi meter diana school areker,0,158,0,Tue Jul 16 04:37:48 +0000 2019,1.0,0.125,1
swachhbharat navsari citi gujarat india pleas clean area thi area name zaveri sada,2,343,0,Tue Jul 16 04:36:20 +0000 2019,0.0,0.125,-1
pleas retweet let stoplitt cleandelhi swachhbharat mycleanindia wemeantoclean,6,1888,0,Tue Jul 16 04:30:31 +0000 2019,0.0,0.0,0
intestin worm spread due open defec alway use toilet forget wash hand nationaldewormingday krimimuktbharat swachhbharat,2,153,2,Tue Jul 16 04:30:07 +0000 2019,0.125,0.25,-1
swachhbharat swachhbharat summer intern highlight import solid wast manag wall paint sbsi swachhsumm,0,350,0,Tue Jul 16 04:27:26 +0000 2019,0.875,0.125,1
swachhbharat swachhbharat summer intern highlight import solid wast manag wall paint sbsi swachhsumm swachhbharat zsbp,0,525,0,Tue Jul 16 04:20:28 +0000 2019,0.875,0.125,1
swachhbharat summer intern highlight import solid wast manag wall paint sbsi swachhsumm,13,430692,65,Tue Jul 16 04:20:22 +0000 2019,0.875,0.125,1
swachhbharat summer intern highlight import solid wast manag wall paint sbsi swachhsumm,0,492,0,Tue Jul 16 04:19:43 +0000 2019,0.875,0.125,1
mcg say resolv where garbag swept behind wall palamvihar resid want photo op thi,14,786,0,Tue Jul 16 04:19:18 +0000 2019,0.25,0.625,-1
,35,166,0,Tue Jul 16 04:15:26 +0000 2019,0.0,0.0,0
delhi let S segreg our wast We help visit It help reduc contribut air water pollut wemeantoclean cleandelhi swachhbharat mycleanindia wastemanag wastesegreg delhipollut airpollut waterpollut,7,1888,0,Tue Jul 16 03:30:18 +0000 2019,0.125,0.0,1
pehl unsuccess swachhbharat potenti failur missionpaani unless bri,37,1,0,Tue Jul 16 03:28:33 +0000 2019,0.0,0.75,-1
exhibitorupd We extrem delight announc offici loung exhibitor world infrastruc,1,129,0,Tue Jul 16 03:22:04 +0000 2019,1.125,0.25,1
have seen student school uniform smoke nearbi park can v save futur counsel may b teacher parent take round morn mycleanindia swachhbharat tuesdaythought tuesdaymorn tuesdaymotiv,1,30,1,Tue Jul 16 02:42:33 +0000 2019,1.0,0.0,1
again big achiev well motiv u thank allot lokmat featur uson front page,1,2,0,Tue Jul 16 02:41:48 +0000 2019,0.75,0.25,1
what propaganda play loudspeak ghanta gaadi navi mumbai their job collect garbag rant ur swachh bharat crap these song serv purpos job truck r meant stop propaganda swachhbharat,0,823,0,Tue Jul 16 02:37:46 +0000 2019,0.25,0.875,-1
collect stray bottl cap litter around place visit routin basi way school colleg work etc wemeantoclean cleandelhi swachhbharat mycleanindia stoplitt plasticpollut wastemanag reduceplast delhi india,6,1888,0,Tue Jul 16 02:35:03 +0000 2019,0.125,0.625,-1
